No handlers could be found for logger "django.request"
127.0.0.1 - - [27/Nov/2014 00:11:15] "POST /weixin?signature=1d6f809e376c7ec24847198feb5fdc2243ca2343&timestamp=1417018145&nonce=927705491 HTTP/1.1" 200 676
127.0.0.1 - - [27/Nov/2014 00:11:19] "POST /weixin?signature=0fc0f6b97243e0d2520da5f566baae13e29ca80f&timestamp=1417018149&nonce=1984926562 HTTP/1.1" 200 283
127.0.0.1 - - [27/Nov/2014 00:11:25] "POST /weixin?signature=d6667285a9d2ac83cdba4830163cf4a6bae7710f&timestamp=1417018154&nonce=730639671 HTTP/1.1" 200 744
127.0.0.1 - - [27/Nov/2014 00:12:39] "POST /weixin?signature=63f0fe97fcd67d5e6c93fe0add6595984366e001&timestamp=1417018229&nonce=1264488157 HTTP/1.1" 200 692
127.0.0.1 - - [27/Nov/2014 00:12:41] "GET /u/help/ HTTP/1.1" 200 5003
127.0.0.1 - - [27/Nov/2014 00:12:41] "GET /static1/css/help.css?_=3 HTTP/1.1" 200 404
127.0.0.1 - - [27/Nov/2014 00:12:41] "GET /static1/img/chevron-down.png HTTP/1.1" 200 491
127.0.0.1 - - [27/Nov/2014 00:12:41] "GET /static1/js/help.js HTTP/1.1" 200 483
127.0.0.1 - - [27/Nov/2014 00:12:48] "POST /weixin?signature=4f653f8f458d9b1c7885a95fb28b47d5bf01b0c3&timestamp=1417018237&nonce=2082822861 HTTP/1.1" 200 7239
127.0.0.1 - - [27/Nov/2014 00:15:26] "GET / HTTP/1.1" 200 3888
127.0.0.1 - - [27/Nov/2014 00:15:26] "GET /static1/lib/bs/css/bootstrap.min.css HTTP/1.1" 304 0
127.0.0.1 - - [27/Nov/2014 00:15:26] "GET /static1/lib/bs/css/signin.css HTTP/1.1" 304 0
127.0.0.1 - - [27/Nov/2014 00:15:26] "GET /static1/lib/jq/jquery-1.10.2.min.js HTTP/1.1" 304 0
127.0.0.1 - - [27/Nov/2014 00:15:26] "GET /static1/lib/bs/js/bootstrap.min.js HTTP/1.1" 304 0
127.0.0.1 - - [27/Nov/2014 00:15:26] "GET /static1/lib/jq/form/jquery.form.min.js HTTP/1.1" 304 0
127.0.0.1 - - [27/Nov/2014 07:53:14] "POST /weixin?signature=0655d91e2566ed43162c0fbd16ce97daf6844308&timestamp=1417045863&nonce=1024743787 HTTP/1.1" 200 266
127.0.0.1 - - [27/Nov/2014 07:53:18] "POST /weixin?signature=4eada494e374faffdcd1d210847101c30be4a8a5&timestamp=1417045867&nonce=1851431026 HTTP/1.1" 200 541
Traceback (most recent call last):
